belotn@DESKTOP-QPKGRAU:~/.local/bin$ python3.10 -X importtime docling --to md quiz4_practice_part2.pdf 2>&1 | head -50
import time: self [us] | cumulative | imported package
import time:       120 |        120 |   _io
import time:        24 |         24 |   marshal
import time:       222 |        222 |   posix
import time:       418 |        782 | _frozen_importlib_external
import time:       216 |        216 |   time
import time:       124 |        340 | zipimport
import time:       135 |        135 |     _codecs
import time:       689 |        823 |   codecs
import time:       930 |        930 |   encodings.aliases
import time:      1545 |       3297 | encodings
import time:       283 |        283 | encodings.utf_8
import time:        57 |         57 | _signal
import time:        30 |         30 |     _abc
import time:       340 |        369 |   abc
import time:       546 |        915 | io
import time:        37 |         37 |       _stat
import time:       391 |        427 |     stat
import time:      1322 |       1322 |     _collections_abc
import time:       335 |        335 |       genericpath
import time:       422 |        757 |     posixpath
import time:       854 |       3358 |   os
import time:       336 |        336 |   _sitebuiltins
import time:       428 |        428 |     types
import time:        81 |         81 |     cuda
import time:      1181 |       1689 |   _cuda_bindings_redirector
import time:       302 |        302 |     apport_python_hook
import time:       230 |        532 |   sitecustomize
import time:        40 |         40 |   usercustomize
import time:      2600 |       8552 | site
import time:       608 |        608 |   enum
import time:        99 |         99 |     _sre
import time:       294 |        294 |       sre_constants
import time:       455 |        748 |     sre_parse
import time:       375 |       1221 |   sre_compile
import time:        63 |         63 |       itertools
import time:       252 |        252 |       keyword
import time:        41 |         41 |         _operator
import time:       376 |        416 |       operator
import time:       242 |        242 |       reprlib
import time:        40 |         40 |       _collections
import time:       775 |       1787 |     collections
import time:        31 |         31 |     _functools
import time:       841 |       2657 |   functools
import time:        43 |         43 |   _locale
import time:       367 |        367 |   copyreg
import time:       717 |       5611 | re
import time:       263 |        263 |     docling
import time:       405 |        667 |   docling.cli
import time:       117 |        117 |     math
belotn@DESKTOP-QPKGRAU:~/.local/bin$ python3.10 -X importtime docling --to md quiz4_practice_part2.pdf 2>&1 | tee imports.txt
import time: self [us] | cumulative | imported package
import time:        87 |         87 |   _io
import time:        18 |         18 |   marshal
import time:       193 |        193 |   posix
import time:       320 |        616 | _frozen_importlib_external
import time:        48 |         48 |   time
import time:        95 |        143 | zipimport
import time:        71 |         71 |     _codecs
import time:       235 |        306 |   codecs
import time:       180 |        180 |   encodings.aliases
import time:       315 |        799 | encodings
import time:        96 |         96 | encodings.utf_8
import time:        39 |         39 | _signal
import time:        26 |         26 |     _abc
import time:       115 |        140 |   abc
import time:       122 |        262 | io
import time:        29 |         29 |       _stat
import time:        99 |        127 |     stat
import time:       631 |        631 |     _collections_abc
import time:       112 |        112 |       genericpath
import time:       143 |        254 |     posixpath
import time:       478 |       1489 |   os
import time:        84 |         84 |   _sitebuiltins
import time:       168 |        168 |     types
import time:        73 |         73 |     cuda
import time:       253 |        493 |   _cuda_bindings_redirector
import time:       132 |        132 |     apport_python_hook
import time:        73 |        205 |   sitecustomize
import time:        30 |         30 |   usercustomize
import time:       506 |       2805 | site
import time:       313 |        313 |   enum
import time:        76 |         76 |     _sre
import time:       141 |        141 |       sre_constants
import time:       186 |        327 |     sre_parse
import time:       124 |        526 |   sre_compile
import time:        76 |         76 |       itertools
import time:        84 |         84 |       keyword
import time:        35 |         35 |         _operator
import time:       165 |        200 |       operator
